prefecture_name,subprefecture_name,district_name,municipality_name,ward_name,municipality_code
北海道,後志総合振興局,岩内郡,共和町,NA,01401
北海道,後志総合振興局,岩内郡,岩内町,NA,01402
北海道,後志総合振興局,古宇郡,泊村,NA,01403
北海道,後志総合振興局,古宇郡,神恵内村,NA,01404
北海道,後志総合振興局,積丹郡,積丹町,NA,01405
北海道,後志総合振興局,古平郡,古平町,NA,01406
北海道,後志総合振興局,余市郡,仁木町,NA,01407
北海道,後志総合振興局,余市郡,余市町,NA,01408
北海道,後志総合振興局,余市郡,赤井川村,NA,01409
北海道,空知総合振興局,空知郡,南幌町,NA,01423
北海道,空知総合振興局,空知郡,奈井江町,NA,01424
北海道,空知総合振興局,空知郡,上砂川町,NA,01425
北海道,空知総合振興局,夕張郡,由仁町,NA,01427
北海道,空知総合振興局,夕張郡,長沼町,NA,01428
北海道,空知総合振興局,夕張郡,栗山町,NA,01429
北海道,空知総合振興局,樺戸郡,月形町,NA,01430
北海道,空知総合振興局,樺戸郡,浦臼町,NA,01431
北海道,空知総合振興局,樺戸郡,新十津川町,NA,01432
北海道,空知総合振興局,雨竜郡,妹背牛町,NA,01433
北海道,空知総合振興局,雨竜郡,秩父別町,NA,01434
北海道,空知総合振興局,雨竜郡,雨竜町,NA,01436
北海道,空知総合振興局,雨竜郡,北竜町,NA,01437
北海道,空知総合振興局,雨竜郡,沼田町,NA,01438
北海道,上川総合振興局,上川郡,鷹栖町,NA,01452
北海道,上川総合振興局,上川郡,東神楽町,NA,01453
北海道,上川総合振興局,上川郡,当麻町,NA,01454
北海道,上川総合振興局,上川郡,比布町,NA,01455
北海道,上川総合振興局,上川郡,愛別町,NA,01456
北海道,上川総合振興局,上川郡,上川町,NA,01457
北海道,上川総合振興局,上川郡,東川町,NA,01458
北海道,上川総合振興局,上川郡,美瑛町,NA,01459
北海道,上川総合振興局,空知郡,上富良野町,NA,01460
北海道,上川総合振興局,空知郡,中富良野町,NA,01461
北海道,上川総合振興局,空知郡,南富良野町,NA,01462
北海道,上川総合振興局,勇払郡,占冠村,NA,01463
北海道,上川総合振興局,上川郡,和寒町,NA,01464
北海道,上川総合振興局,上川郡,剣淵町,NA,01465
北海道,上川総合振興局,上川郡,下川町,NA,01468
北海道,上川総合振興局,中川郡,美深町,NA,01469
北海道,上川総合振興局,中川郡,音威子府村,NA,01470
北海道,上川総合振興局,中川郡,中川町,NA,01471
北海道,上川総合振興局,雨竜郡,幌加内町,NA,01472
北海道,留萌振興局,増毛郡,増毛町,NA,01481
北海道,留萌振興局,留萌郡,小平町,NA,01482
北海道,留萌振興局,苫前郡,苫前町,NA,01483
北海道,留萌振興局,苫前郡,羽幌町,NA,01484
北海道,留萌振興局,苫前郡,初山別村,NA,01485
北海道,留萌振興局,天塩郡,遠別町,NA,01486
北海道,留萌振興局,天塩郡,天塩町,NA,01487
北海道,宗谷総合振興局,宗谷郡,猿払村,NA,01511
北海道,宗谷総合振興局,枝幸郡,浜頓別町,NA,01512
北海道,宗谷総合振興局,枝幸郡,中頓別町,NA,01513
北海道,宗谷総合振興局,枝幸郡,枝幸町,NA,01514
北海道,宗谷総合振興局,天塩郡,豊富町,NA,01516
北海道,宗谷総合振興局,礼文郡,礼文町,NA,01517
北海道,宗谷総合振興局,利尻郡,利尻町,NA,01518
北海道,宗谷総合振興局,利尻郡,利尻富士町,NA,01519
北海道,宗谷総合振興局,天塩郡,幌延町,NA,01520
北海道,オホーツク総合振興局,網走郡,美幌町,NA,01543
北海道,オホーツク総合振興局,網走郡,津別町,NA,01544
北海道,オホーツク総合振興局,斜里郡,斜里町,NA,01545
北海道,オホーツク総合振興局,斜里郡,清里町,NA,01546
北海道,オホーツク総合振興局,斜里郡,小清水町,NA,01547
北海道,オホーツク総合振興局,常呂郡,訓子府町,NA,01549
北海道,オホーツク総合振興局,常呂郡,置戸町,NA,01550
北海道,オホーツク総合振興局,常呂郡,佐呂間町,NA,01552
北海道,オホーツク総合振興局,紋別郡,遠軽町,NA,01555
北海道,オホーツク総合振興局,紋別郡,湧別町,NA,01559
北海道,オホーツク総合振興局,紋別郡,滝上町,NA,01560
北海道,オホーツク総合振興局,紋別郡,興部町,NA,01561
北海道,オホーツク総合振興局,紋別郡,西興部村,NA,01562
北海道,オホーツク総合振興局,紋別郡,雄武町,NA,01563
北海道,オホーツク総合振興局,網走郡,大空町,NA,01564
北海道,胆振総合振興局,虻田郡,豊浦町,NA,01571
北海道,胆振総合振興局,有珠郡,壮瞥町,NA,01575
北海道,胆振総合振興局,白老郡,白老町,NA,01578
北海道,胆振総合振興局,勇払郡,厚真町,NA,01581
北海道,胆振総合振興局,虻田郡,洞爺湖町,NA,01584
北海道,胆振総合振興局,勇払郡,安平町,NA,01585
北海道,胆振総合振興局,勇払郡,むかわ町,NA,01586
北海道,日高振興局,沙流郡,日高町,NA,01601
北海道,日高振興局,沙流郡,平取町,NA,01602
北海道,日高振興局,新冠郡,新冠町,NA,01604
北海道,日高振興局,浦河郡,浦河町,NA,01607
北海道,日高振興局,様似郡,様似町,NA,01608
北海道,日高振興局,幌泉郡,えりも町,NA,01609
北海道,日高振興局,日高郡,新ひだか町,NA,01610
北海道,十勝総合振興局,河東郡,音更町,NA,01631
北海道,十勝総合振興局,河東郡,士幌町,NA,01632
北海道,十勝総合振興局,河東郡,上士幌町,NA,01633
北海道,十勝総合振興局,河東郡,鹿追町,NA,01634
北海道,十勝総合振興局,上川郡,新得町,NA,01635
北海道,十勝総合振興局,上川郡,清水町,NA,01636
北海道,十勝総合振興局,河西郡,芽室町,NA,01637
北海道,十勝総合振興局,河西郡,中札内村,NA,01638
北海道,十勝総合振興局,河西郡,更別村,NA,01639
北海道,十勝総合振興局,広尾郡,大樹町,NA,01641
北海道,十勝総合振興局,広尾郡,広尾町,NA,01642
北海道,十勝総合振興局,中川郡,幕別町,NA,01643
北海道,十勝総合振興局,中川郡,池田町,NA,01644
北海道,十勝総合振興局,中川郡,豊頃町,NA,01645
北海道,十勝総合振興局,中川郡,本別町,NA,01646
北海道,十勝総合振興局,足寄郡,足寄町,NA,01647
北海道,十勝総合振興局,足寄郡,陸別町,NA,01648
北海道,十勝総合振興局,十勝郡,浦幌町,NA,01649
北海道,釧路総合振興局,釧路郡,釧路町,NA,01661
北海道,釧路総合振興局,厚岸郡,厚岸町,NA,01662
北海道,釧路総合振興局,厚岸郡,浜中町,NA,01663
北海道,釧路総合振興局,川上郡,標茶町,NA,01664
北海道,釧路総合振興局,川上郡,弟子屈町,NA,01665
北海道,釧路総合振興局,阿寒郡,鶴居村,NA,01667
北海道,釧路総合振興局,白糠郡,白糠町,NA,01668
北海道,根室振興局,野付郡,別海町,NA,01691
北海道,根室振興局,標津郡,中標津町,NA,01692
北海道,根室振興局,標津郡,標津町,NA,01693
北海道,根室振興局,目梨郡,羅臼町,NA,01694
北海道,根室振興局,色丹郡,色丹村,NA,01695
北海道,根室振興局,国後郡,泊村,NA,01696
北海道,根室振興局,国後郡,留夜別村,NA,01697
北海道,根室振興局,択捉郡,留別村,NA,01698
北海道,根室振興局,紗那郡,紗那村,NA,01699
北海道,根室振興局,蘂取郡,蘂取村,NA,01700
青森県,NA,NA,青森市,NA,02201
青森県,NA,NA,弘前市,NA,02202
青森県,NA,NA,八戸市,NA,02203
青森県,NA,NA,黒石市,NA,02204
青森県,NA,NA,五所川原市,NA,02205
青森県,NA,NA,十和田市,NA,02206
青森県,NA,NA,三沢市,NA,02207
青森県,NA,NA,むつ市,NA,02208
青森県,NA,NA,つがる市,NA,02209
青森県,NA,NA,平川市,NA,02210
青森県,NA,東津軽郡,平内町,NA,02301
青森県,NA,東津軽郡,今別町,NA,02303
青森県,NA,東津軽郡,蓬田村,NA,02304
青森県,NA,東津軽郡,外ヶ浜町,NA,02307
青森県,NA,西津軽郡,鰺ヶ沢町,NA,02321
青森県,NA,西津軽郡,深浦町,NA,02323
青森県,NA,中津軽郡,西目屋村,NA,02343
青森県,NA,南津軽郡,藤崎町,NA,02361
青森県,NA,南津軽郡,大鰐町,NA,02362
青森県,NA,南津軽郡,田舎館村,NA,02367
青森県,NA,北津軽郡,板柳町,NA,02381
青森県,NA,北津軽郡,鶴田町,NA,02384
青森県,NA,北津軽郡,中泊町,NA,02387
青森県,NA,上北郡,野辺地町,NA,02401
青森県,NA,上北郡,七戸町,NA,02402
青森県,NA,上北郡,六戸町,NA,02405
青森県,NA,上北郡,横浜町,NA,02406
青森県,NA,上北郡,東北町,NA,02408
青森県,NA,上北郡,六ヶ所村,NA,02411
青森県,NA,上北郡,おいらせ町,NA,02412
青森県,NA,下北郡,大間町,NA,02423
青森県,NA,下北郡,東通村,NA,02424
青森県,NA,下北郡,風間浦村,NA,02425
青森県,NA,下北郡,佐井村,NA,02426
青森県,NA,三戸郡,三戸町,NA,02441
青森県,NA,三戸郡,五戸町,NA,02442
青森県,NA,三戸郡,田子町,NA,02443
青森県,NA,三戸郡,南部町,NA,02445
青森県,NA,三戸郡,階上町,NA,02446
青森県,NA,三戸郡,新郷村,NA,02450
岩手県,NA,NA,盛岡市,NA,03201
岩手県,NA,NA,宮古市,NA,03202
岩手県,NA,NA,大船渡市,NA,03203
岩手県,NA,NA,花巻市,NA,03205
岩手県,NA,NA,北上市,NA,03206
岩手県,NA,NA,久慈市,NA,03207
岩手県,NA,NA,遠野市,NA,03208
岩手県,NA,NA,一関市,NA,03209
岩手県,NA,NA,陸前高田市,NA,03210
岩手県,NA,NA,釜石市,NA,03211
岩手県,NA,NA,二戸市,NA,03213
岩手県,NA,NA,八幡平市,NA,03214
岩手県,NA,NA,奥州市,NA,03215
岩手県,NA,NA,滝沢市,NA,03216
岩手県,NA,岩手郡,雫石町,NA,03301
岩手県,NA,岩手郡,葛巻町,NA,03302
岩手県,NA,岩手郡,岩手町,NA,03303
岩手県,NA,紫波郡,紫波町,NA,03321
岩手県,NA,紫波郡,矢巾町,NA,03322
岩手県,NA,和賀郡,西和賀町,NA,03366
岩手県,NA,胆沢郡,金ケ崎町,NA,03381
岩手県,NA,西磐井郡,平泉町,NA,03402
岩手県,NA,気仙郡,住田町,NA,03441
岩手県,NA,上閉伊郡,大槌町,NA,03461
岩手県,NA,下閉伊郡,山田町,NA,03482
岩手県,NA,下閉伊郡,岩泉町,NA,03483
岩手県,NA,下閉伊郡,田野畑村,NA,03484
岩手県,NA,下閉伊郡,普代村,NA,03485
岩手県,NA,九戸郡,軽米町,NA,03501
岩手県,NA,九戸郡,野田村,NA,03503
岩手県,NA,九戸郡,九戸村,NA,03506
岩手県,NA,九戸郡,洋野町,NA,03507
岩手県,NA,二戸郡,一戸町,NA,03524
宮城県,NA,NA,仙台市,青葉区,04101
宮城県,NA,NA,仙台市,宮城野区,04102
宮城県,NA,NA,仙台市,若林区,04103
宮城県,NA,NA,仙台市,太白区,04104
宮城県,NA,NA,仙台市,泉区,04105
宮城県,NA,NA,石巻市,NA,04202
宮城県,NA,NA,塩竈市,NA,04203
宮城県,NA,NA,気仙沼市,NA,04205
宮城県,NA,NA,白石市,NA,04206
宮城県,NA,NA,名取市,NA,04207
宮城県,NA,NA,角田市,NA,04208
宮城県,NA,NA,多賀城市,NA,04209
宮城県,NA,NA,岩沼市,NA,04211
宮城県,NA,NA,登米市,NA,04212
宮城県,NA,NA,栗原市,NA,04213
宮城県,NA,NA,東松島市,NA,04214
宮城県,NA,NA,大崎市,NA,04215
宮城県,NA,NA,富谷市,NA,04216
宮城県,NA,刈田郡,蔵王町,NA,04301
宮城県,NA,刈田郡,七ヶ宿町,NA,04302
宮城県,NA,柴田郡,大河原町,NA,04321
宮城県,NA,柴田郡,村田町,NA,04322
宮城県,NA,柴田郡,柴田町,NA,04323
宮城県,NA,柴田郡,川崎町,NA,04324
宮城県,NA,伊具郡,丸森町,NA,04341
宮城県,NA,亘理郡,亘理町,NA,04361
宮城県,NA,亘理郡,山元町,NA,04362
宮城県,NA,宮城郡,松島町,NA,04401
宮城県,NA,宮城郡,七ヶ浜町,NA,04404
宮城県,NA,宮城郡,利府町,NA,04406
宮城県,NA,黒川郡,大和町,NA,04421
宮城県,NA,黒川郡,大郷町,NA,04422
宮城県,NA,黒川郡,大衡村,NA,04424
宮城県,NA,加美郡,色麻町,NA,04444
宮城県,NA,加美郡,加美町,NA,04445
宮城県,NA,遠田郡,涌谷町,NA,04501
宮城県,NA,遠田郡,美里町,NA,04505
宮城県,NA,牡鹿郡,女川町,NA,04581
宮城県,NA,本吉郡,南三陸町,NA,04606
秋田県,NA,NA,秋田市,NA,05201
秋田県,NA,NA,能代市,NA,05202
秋田県,NA,NA,横手市,NA,05203
秋田県,NA,NA,大館市,NA,05204
秋田県,NA,NA,男鹿市,NA,05206
秋田県,NA,NA,湯沢市,NA,05207
秋田県,NA,NA,鹿角市,NA,05209
秋田県,NA,NA,由利本荘市,NA,05210
秋田県,NA,NA,潟上市,NA,05211
秋田県,NA,NA,大仙市,NA,05212
秋田県,NA,NA,北秋田市,NA,05213
秋田県,NA,NA,にかほ市,NA,05214
秋田県,NA,NA,仙北市,NA,05215
秋田県,NA,鹿角郡,小坂町,NA,05303
秋田県,NA,北秋田郡,上小阿仁村,NA,05327
秋田県,NA,山本郡,藤里町,NA,05346
秋田県,NA,山本郡,三種町,NA,05348
秋田県,NA,山本郡,八峰町,NA,05349
秋田県,NA,南秋田郡,五城目町,NA,05361
秋田県,NA,南秋田郡,八郎潟町,NA,05363
秋田県,NA,南秋田郡,井川町,NA,05366
秋田県,NA,南秋田郡,大潟村,NA,05368
秋田県,NA,仙北郡,美郷町,NA,05434
秋田県,NA,雄勝郡,羽後町,NA,05463
秋田県,NA,雄勝郡,東成瀬村,NA,05464
山形県,NA,NA,山形市,NA,06201
山形県,NA,NA,米沢市,NA,06202
山形県,NA,NA,鶴岡市,NA,06203
山形県,NA,NA,酒田市,NA,06204
山形県,NA,NA,新庄市,NA,06205
山形県,NA,NA,寒河江市,NA,06206
山形県,NA,NA,上山市,NA,06207
山形県,NA,NA,村山市,NA,06208
山形県,NA,NA,長井市,NA,06209
山形県,NA,NA,天童市,NA,06210
山形県,NA,NA,東根市,NA,06211
山形県,NA,NA,尾花沢市,NA,06212
山形県,NA,NA,南陽市,NA,06213
山形県,NA,東村山郡,山辺町,NA,06301
山形県,NA,東村山郡,中山町,NA,06302
山形県,NA,西村山郡,河北町,NA,06321
山形県,NA,西村山郡,西川町,NA,06322
山形県,NA,西村山郡,朝日町,NA,06323
山形県,NA,西村山郡,大江町,NA,06324
山形県,NA,北村山郡,大石田町,NA,06341
山形県,NA,最上郡,金山町,NA,06361
山形県,NA,最上郡,最上町,NA,06362
山形県,NA,最上郡,舟形町,NA,06363
山形県,NA,最上郡,真室川町,NA,06364
山形県,NA,最上郡,大蔵村,NA,06365
山形県,NA,最上郡,鮭川村,NA,06366
山形県,NA,最上郡,戸沢村,NA,06367
山形県,NA,東置賜郡,高畠町,NA,06381
山形県,NA,東置賜郡,川西町,NA,06382
山形県,NA,西置賜郡,小国町,NA,06401
山形県,NA,西置賜郡,白鷹町,NA,06402
山形県,NA,西置賜郡,飯豊町,NA,06403
山形県,NA,東田川郡,三川町,NA,06426
山形県,NA,東田川郡,庄内町,NA,06428
山形県,NA,飽海郡,遊佐町,NA,06461
福島県,NA,NA,福島市,NA,07201
福島県,NA,NA,会津若松市,NA,07202
福島県,NA,NA,郡山市,NA,07203
福島県,NA,NA,いわき市,NA,07204
福島県,NA,NA,白河市,NA,07205
福島県,NA,NA,須賀川市,NA,07207
福島県,NA,NA,喜多方市,NA,07208
福島県,NA,NA,相馬市,NA,07209
福島県,NA,NA,二本松市,NA,07210
福島県,NA,NA,田村市,NA,07211
福島県,NA,NA,南相馬市,NA,07212
福島県,NA,NA,伊達市,NA,07213
福島県,NA,NA,本宮市,NA,07214
福島県,NA,伊達郡,桑折町,NA,07301
福島県,NA,伊達郡,国見町,NA,07303
福島県,NA,伊達郡,川俣町,NA,07308
福島県,NA,安達郡,大玉村,NA,07322
福島県,NA,岩瀬郡,鏡石町,NA,07342
福島県,NA,岩瀬郡,天栄村,NA,07344
福島県,NA,南会津郡,下郷町,NA,07362
福島県,NA,南会津郡,檜枝岐村,NA,07364
福島県,NA,南会津郡,只見町,NA,07367
福島県,NA,南会津郡,南会津町,NA,07368
福島県,NA,耶麻郡,北塩原村,NA,07402
福島県,NA,耶麻郡,西会津町,NA,07405
福島県,NA,耶麻郡,磐梯町,NA,07407
福島県,NA,耶麻郡,猪苗代町,NA,07408
福島県,NA,河沼郡,会津坂下町,NA,07421
福島県,NA,河沼郡,湯川村,NA,07422
福島県,NA,河沼郡,柳津町,NA,07423
福島県,NA,大沼郡,三島町,NA,07444
福島県,NA,大沼郡,金山町,NA,07445
福島県,NA,大沼郡,昭和村,NA,07446
福島県,NA,大沼郡,会津美里町,NA,07447
福島県,NA,西白河郡,西郷村,NA,07461
福島県,NA,西白河郡,泉崎村,NA,07464
福島県,NA,西白河郡,中島村,NA,07465
福島県,NA,西白河郡,矢吹町,NA,07466
福島県,NA,東白川郡,棚倉町,NA,07481
福島県,NA,東白川郡,矢祭町,NA,07482
福島県,NA,東白川郡,塙町,NA,07483
福島県,NA,東白川郡,鮫川村,NA,07484
福島県,NA,石川郡,石川町,NA,07501
福島県,NA,石川郡,玉川村,NA,07502
福島県,NA,石川郡,平田村,NA,07503
福島県,NA,石川郡,浅川町,NA,07504
福島県,NA,石川郡,古殿町,NA,07505
福島県,NA,田村郡,三春町,NA,07521
福島県,NA,田村郡,小野町,NA,07522
福島県,NA,双葉郡,広野町,NA,07541
福島県,NA,双葉郡,楢葉町,NA,07542
福島県,NA,双葉郡,富岡町,NA,07543
福島県,NA,双葉郡,川内村,NA,07544
福島県,NA,双葉郡,大熊町,NA,07545
福島県,NA,双葉郡,双葉町,NA,07546
福島県,NA,双葉郡,浪江町,NA,07547
福島県,NA,双葉郡,葛尾村,NA,07548
福島県,NA,相馬郡,新地町,NA,07561
福島県,NA,相馬郡,飯舘村,NA,07564
茨城県,NA,NA,水戸市,NA,08201
茨城県,NA,NA,日立市,NA,08202
茨城県,NA,NA,土浦市,NA,08203
茨城県,NA,NA,古河市,NA,08204
茨城県,NA,NA,石岡市,NA,08205
茨城県,NA,NA,結城市,NA,08207
茨城県,NA,NA,龍ケ崎市,NA,08208
茨城県,NA,NA,下妻市,NA,08210
茨城県,NA,NA,常総市,NA,08211
茨城県,NA,NA,常陸太田市,NA,08212
茨城県,NA,NA,高萩市,NA,08214
茨城県,NA,NA,北茨城市,NA,08215
茨城県,NA,NA,笠間市,NA,08216
茨城県,NA,NA,取手市,NA,08217
茨城県,NA,NA,牛久市,NA,08219
茨城県,NA,NA,つくば市,NA,08220
茨城県,NA,NA,ひたちなか市,NA,08221
茨城県,NA,NA,鹿嶋市,NA,08222
茨城県,NA,NA,潮来市,NA,08223
茨城県,NA,NA,守谷市,NA,08224
茨城県,NA,NA,常陸大宮市,NA,08225
茨城県,NA,NA,那珂市,NA,08226
茨城県,NA,NA,筑西市,NA,08227
茨城県,NA,NA,坂東市,NA,08228
茨城県,NA,NA,稲敷市,NA,08229
茨城県,NA,NA,かすみがうら市,NA,08230
茨城県,NA,NA,桜川市,NA,08231
茨城県,NA,NA,神栖市,NA,08232
茨城県,NA,NA,行方市,NA,08233
茨城県,NA,NA,鉾田市,NA,08234
茨城県,NA,NA,つくばみらい市,NA,08235
茨城県,NA,NA,小美玉市,NA,08236
茨城県,NA,東茨城郡,茨城町,NA,08302
茨城県,NA,東茨城郡,大洗町,NA,08309
茨城県,NA,東茨城郡,城里町,NA,08310
茨城県,NA,那珂郡,東海村,NA,08341
茨城県,NA,久慈郡,大子町,NA,08364
茨城県,NA,稲敷郡,美浦村,NA,08442
茨城県,NA,稲敷郡,阿見町,NA,08443
茨城県,NA,稲敷郡,河内町,NA,08447
茨城県,NA,結城郡,八千代町,NA,08521
茨城県,NA,猿島郡,五霞町,NA,08542
茨城県,NA,猿島郡,境町,NA,08546
茨城県,NA,北相馬郡,利根町,NA,08564
栃木県,NA,NA,宇都宮市,NA,09201
栃木県,NA,NA,足利市,NA,09202
栃木県,NA,NA,栃木市,NA,09203
栃木県,NA,NA,佐野市,NA,09204
栃木県,NA,NA,鹿沼市,NA,09205
栃木県,NA,NA,日光市,NA,09206
栃木県,NA,NA,小山市,NA,09208
栃木県,NA,NA,真岡市,NA,09209
栃木県,NA,NA,大田原市,NA,09210
栃木県,NA,NA,矢板市,NA,09211
栃木県,NA,NA,那須塩原市,NA,09213
栃木県,NA,NA,さくら市,NA,09214
栃木県,NA,NA,那須烏山市,NA,09215
栃木県,NA,NA,下野市,NA,09216
栃木県,NA,河内郡,上三川町,NA,09301
栃木県,NA,芳賀郡,益子町,NA,09342
栃木県,NA,芳賀郡,茂木町,NA,09343
栃木県,NA,芳賀郡,市貝町,NA,09344
栃木県,NA,芳賀郡,芳賀町,NA,09345
栃木県,NA,下都賀郡,壬生町,NA,09361
栃木県,NA,下都賀郡,野木町,NA,09364
栃木県,NA,塩谷郡,塩谷町,NA,09384
栃木県,NA,塩谷郡,高根沢町,NA,09386
栃木県,NA,那須郡,那須町,NA,09407
栃木県,NA,那須郡,那珂川町,NA,09411
群馬県,NA,NA,前橋市,NA,10201
群馬県,NA,NA,高崎市,NA,10202
群馬県,NA,NA,桐生市,NA,10203
群馬県,NA,NA,伊勢崎市,NA,10204
群馬県,NA,NA,太田市,NA,10205
群馬県,NA,NA,沼田市,NA,10206
群馬県,NA,NA,館林市,NA,10207
群馬県,NA,NA,渋川市,NA,10208
群馬県,NA,NA,藤岡市,NA,10209
群馬県,NA,NA,富岡市,NA,10210
群馬県,NA,NA,安中市,NA,10211
群馬県,NA,NA,みどり市,NA,10212
群馬県,NA,北群馬郡,榛東村,NA,10344
群馬県,NA,北群馬郡,吉岡町,NA,10345
群馬県,NA,多野郡,上野村,NA,10366
群馬県,NA,多野郡,神流町,NA,10367
群馬県,NA,甘楽郡,下仁田町,NA,10382
群馬県,NA,甘楽郡,南牧村,NA,10383
群馬県,NA,甘楽郡,甘楽町,NA,10384
群馬県,NA,吾妻郡,中之条町,NA,10421
群馬県,NA,吾妻郡,長野原町,NA,10424
群馬県,NA,吾妻郡,嬬恋村,NA,10425
群馬県,NA,吾妻郡,草津町,NA,10426
群馬県,NA,吾妻郡,高山村,NA,10428
群馬県,NA,吾妻郡,東吾妻町,NA,10429
群馬県,NA,利根郡,片品村,NA,10443
群馬県,NA,利根郡,川場村,NA,10444
群馬県,NA,利根郡,昭和村,NA,10448
群馬県,NA,利根郡,みなかみ町,NA,10449
群馬県,NA,佐波郡,玉村町,NA,10464
群馬県,NA,邑楽郡,板倉町,NA,10521
群馬県,NA,邑楽郡,明和町,NA,10522
群馬県,NA,邑楽郡,千代田町,NA,10523
群馬県,NA,邑楽郡,大泉町,NA,10524
群馬県,NA,邑楽郡,邑楽町,NA,10525
埼玉県,NA,NA,さいたま市,西区,11101
埼玉県,NA,NA,さいたま市,北区,11102
埼玉県,NA,NA,さいたま市,大宮区,11103
埼玉県,NA,NA,さいたま市,見沼区,11104
埼玉県,NA,NA,さいたま市,中央区,11105
埼玉県,NA,NA,さいたま市,桜区,11106
埼玉県,NA,NA,さいたま市,浦和区,11107
埼玉県,NA,NA,さいたま市,南区,11108
埼玉県,NA,NA,さいたま市,緑区,11109
埼玉県,NA,NA,さいたま市,岩槻区,11110
埼玉県,NA,NA,川越市,NA,11201
埼玉県,NA,NA,熊谷市,NA,11202
埼玉県,NA,NA,川口市,NA,11203
埼玉県,NA,NA,行田市,NA,11206
埼玉県,NA,NA,秩父市,NA,11207
埼玉県,NA,NA,所沢市,NA,11208
埼玉県,NA,NA,飯能市,NA,11209
埼玉県,NA,NA,加須市,NA,11210
